"id","code","name"
edu_career_object_118,151025,PACARAOS
edu_career_object_119,151055,PACIFICO NORTE
edu_career_object_120,224035,PADRE ABAD
edu_career_object_121,224045,PAIJAN
edu_career_object_122,224055,PALPA
edu_career_object_123,224065,PAMPAS-TAYACAJA
edu_career_object_124,224075,PARACAS SISTEMS
edu_career_object_125,223015,PASCO
edu_career_object_126,151015,PASCUAL SACO Y OLIVEROS
edu_career_object_127,224045,PAUCAR DEL SARASARA
edu_career_object_128,151045,PAUCARTAMBO
edu_career_object_129,224045,PAUL MULLER
edu_career_object_130,221015,PAZOS
edu_career_object_131,151015,PEDRO A. DEL AGUILA HIDALGO
edu_career_object_132,223015,PEDRO ORTIZ MONTOYA
edu_career_object_133,224045,PEDRO P. DIAZ
edu_career_object_134,151015,PEDRO VILCAPAZA
edu_career_object_135,224045,PERU
edu_career_object_136,224045,PERU - CATOLICA
edu_career_object_137,151045,PERU FRANCIA (PERU)
edu_career_object_138,224035,PERU PACIFICO
edu_career_object_139,221015,PERUANO ALEMAN
edu_career_object_140,224045,PERUANO CANADIENSE
edu_career_object_141,223015,PERUANO DE ARTE Y DISEÑO
edu_career_object_142,224045,PERUANO DE CHEFS
edu_career_object_143,224045,PERUANO DE MARKETING
edu_career_object_144,221015,PERUANO DE SISTEMAS SISE
edu_career_object_145,151015,PERUANO ESPAÑOL
edu_career_object_146,224045,PERU-COREA DEL SUR
edu_career_object_147,221015,PERU-JAPON
edu_career_object_148,151045,PICHANAKI
edu_career_object_149,221015,PISCO
edu_career_object_150,151015,PRODUCE Y EXPORTA
edu_career_object_151,223015,PROTESIS DENTAL
edu_career_object_152,224045,PUERTO INCA
edu_career_object_153,221015,PUERTO LIBRE
edu_career_object_154,225015,PURUS
edu_career_object_155,151015,QUEROCOTO
edu_career_object_156,121015,RAMIRO PRIALE PRIALE
edu_career_object_157,112015,RAMON COPAJA
edu_career_object_158,121095,REAL SAN FELIPE
edu_career_object_159,121055,RECUAY
edu_career_object_160,121065,REDEMPTORIS MATER
edu_career_object_161,121075,REGIONAL DEL SUR
edu_career_object_162,224045,REPUBLICA ARGENTINA
edu_career_object_163,112015,REPUBLICA FEDERAL DE ALEMANIA
edu_career_object_164,121015,REYNA DE LAS AMERICAS
edu_career_object_165,121025,RICARDO PALMA
edu_career_object_166,111015,RICARDO RAMOS PLATA
edu_career_object_167,112015,RICARDO SALINAS VARA
edu_career_object_168,121015,RIO SANTA
edu_career_object_169,121025,RIOJA
edu_career_object_170,111025,ROBERT OWEN
edu_career_object_171,112025,ROCHDALE
edu_career_object_172,121095,RODRIGO SALAZAR PALACIOS
edu_career_object_173,121015,RODRIGUEZ DE MENDOZA
edu_career_object_174,121025,ROSA MERINO CENTER
edu_career_object_175,121025,RUBEN MARAVI ROMANI
edu_career_object_176,131015,RUDOLF DIESEL
edu_career_object_177,111015,S&D
edu_career_object_178,112015,SABIO NACIONAL ANTUNEZ DE MAYOLO-TELESUP
edu_career_object_179,121055,SALESIANO
edu_career_object_180,121065,SALUD Y BELLEZA
edu_career_object_181,121075,SAN AGUSTIN - JAEN
edu_career_object_182,121085,SAN AGUSTIN-ABANCAY
edu_career_object_183,121015,SAN AGUSTIN-ICA
edu_career_object_184,131015,SAN AGUSTIN-LIMA
edu_career_object_185,111015,SAN ANDRES - AYABACA
edu_career_object_186,121035,SAN ANDRES-LIMA
edu_career_object_187,112015,SAN ANTONIO
edu_career_object_188,121085,SAN ANTONIO DE PADUA
edu_career_object_189,121015,SAN EDUARDO
edu_career_object_190,131015,SAN FELIPE
edu_career_object_191,121095,SAN FRANCISCO
edu_career_object_192,112015,SAN FRANCISCO DE ASIS - LIMA
edu_career_object_193,121015,SAN FRANCISCO DE ASIS-HUANCAYO
edu_career_object_194,121025,SAN IGNACIO
edu_career_object_195,111015,SAN IGNACIO DE LOYOLA - JUNIN
edu_career_object_196,111015,SAN IGNACIO DE LOYOLA-LIMA
edu_career_object_197,112015,SAN IGNACIO DE MONTERRICO-SIDEM
edu_career_object_198,121075,SAN IGNACIO DE PEDRALBES
edu_career_object_199,121085,SAN ISIDRO DE PIURA
edu_career_object_200,121095,SAN JAVIER DEL MARAÑON
edu_career_object_201,121015,SAN JOSE
edu_career_object_202,121025,SAN JOSE MARELLO
edu_career_object_203,131015,SAN JOSE ORIOL
edu_career_object_204,111015,SAN JUAN-VILCASHUAMAN
edu_career_object_205,111025,SAN JUAN-SULLANA
edu_career_object_206,121035,SAN JUAN BAUTISTA LA SALLE
edu_career_object_207,112015,SAN JUAN BOSCO
edu_career_object_208,112025,SAN JUAN DEL ORO
edu_career_object_209,121075,SAN LORENZO
edu_career_object_210,121085,SAN LUIS-CARLOS FERMIN FITZCARRALD
edu_career_object_211,199015,SAN LUIS-TRUJILLO
edu_career_object_212,121015,SAN LUIS MARIA DE MONTFORT
edu_career_object_213,121025,SAN MARCOS - HUARI
edu_career_object_214,131015,SAN MARCOS DISTRITO DE SAN MARCOS
edu_career_object_215,111015,SAN MARCOS-LIMA
edu_career_object_216,112015,SAN MARCOS-TRUJILLO
edu_career_object_217,121055,SAN MARTIN DE PANGOA
edu_career_object_218,121075,SAN MARTIN DE PORRAS
edu_career_object_219,121015,SAN NICOLAS
edu_career_object_220,121025,SAN PABLO
edu_career_object_221,131015,SAN PEDRO - CORONGO
edu_career_object_222,112015,SAN PEDRO -CHIMBOTE
edu_career_object_223,121085,SAN PEDRO DE CHURCAMPA
edu_career_object_224,111015,SAN PEDRO DEL MAR
edu_career_object_225,112015,SAN PEDRO DEL VALLE DE MALA
edu_career_object_226,121075,SAN PEDRO-HUANCAYO
edu_career_object_227,121085,SAN SALVADOR
edu_career_object_228,121015,SAN SANTIAGO
edu_career_object_229,121025,SAN VICENTE DE PAUL
edu_career_object_230,131015,SANGARARA
edu_career_object_231,112015,SANTA ANGELA
edu_career_object_232,112015,SANTA CRUZ
edu_career_object_233,121015,SANTA LUCIA - LAMPA
edu_career_object_234,121025,SANTA LUCIA-TARMA
edu_career_object_235,131015,SANTA LUZMILA
edu_career_object_236,121025,SANTA MARIA DE LOS ANGELES - CIMAS
